ARG-group,ReadCount,16s-NormalizedReadCount,Sample
ESCHERICHIA_COLI_MIPA,1295,0.0592588710636,1289750
DFRG,1,6.87782848896e-05,1289750
FLOR,5330,0.149720452094,1289750
UGD,2752,0.0804918649553,1289750
MDTC,51,0.000564652943752,1289750
MDTB,64,0.000698364123494,1289750
MDTA,495,0.0135360636587,1289750
MDTG,2126,0.0600167526279,1289750
MDTF,7299,0.079876659337,1289750
MDTE,3052,0.0899619966355,1289750
MDTD,2266,0.0545976920114,1289750
MDTK,6826,0.163426781621,1289750
MDTH,2061,0.0581818095795,1289750
CPXA,3343,0.0830147878636,1289750
MDTN,2520,0.0833761249477,1289750
MDTM,2035,0.0563268990458,1289750
MDTL,2537,0.0736341021642,1289750
VANS,1,2.53879575096e-05,1289750
SHV,4,0.000158719118976,1289750
AAC_6___II,1,5.8800088118e-05,1289750
APH_3___I,12,0.000502512930189,1289750
EFRB,1,3.13492182508e-05,1289750
EFRA,1,2.33987979521e-05,1289750
QNRB71,1,5.3029986013e-05,1289750
EMRY,2332,0.0516884930855,1289750
CATA,3,0.000155457767216,1289750
BAER,1461,0.0690834885287,1289750
BAES,2727,0.0662679511295,1289750
DFRA14,99,0.00715600817625,1289750
DFRA15,12,0.000867394930454,1289750
EMRR,1209,0.0779558872795,1289750
DFRA17,204,0.0147457138177,1289750
EMRB_QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,3,7.07801476514e-05,1289750
PMRF,1738,0.0612532570117,1289750
DFRA12,52,0.00357647081426,1289750
QEPA1,1,2.22082524594e-05,1289750
EMRK,2147,0.0629587889239,1289750
EMRA,2127,0.0618925204446,1289750
EMRB,3169,0.0702404951064,1289750
EMRD,2911,0.0838457916414,1289750
EMRE,446,0.0404911518802,1289750
MDTP,3467,0.0806249216444,1289750
APH_3____I,4073,0.169934200252,1289750
ERMB,123,0.0056973685381,1289750
ERMC,16,0.000744158492248,1289750
ERMF,1,4.266322183e-05,1289750
HMRM,2,4.89155905464e-05,1289750
SUL1,941,0.0377344890579,1289750
MGRB,269,0.0649515781877,1289750
TETW,2,3.55193020556e-05,1289750
QNRS5,6,0.00031234175248,1289750
DFRA1,2349,0.169792557636,1289750
DFRA7,184,0.0133000556003,1289750
ERMT,5,0.000232549528827,1289750
DFRA5,71,0.00378280566893,1289750
ESCHERICHIA_COLI_LAMB,3149,0.0801259308393,1289750
TETX,2,5.8800088118e-05,1289750
QNRB67,1,5.3029986013e-05,1289750
TEM,810,0.032712518774,1289750
QNRB62,13,0.000652785049062,1289750
TETQ,1,1.72730852462e-05,1289750
QNRB,22,0.00116123336814,1289750
TETR,57,0.00310990273743,1289750
QNRB69,3,0.000159089958039,1289750
QNRB68,1,5.3029986013e-05,1289750
SUL2,4952,0.207370335858,1289750
OXA,421,0.0173104476806,1289750
QNRS9,177,0.00921408169816,1289750
QACH,18,0.00185701369202,1289750
BRP_MBL_,2,0.000187577140608,1289750
SERRATIA_MARCESCENS_OMP1,352,0.0106808630652,1289750
PENA,3,5.46472729058e-05,1289750
QNRS,29,0.00148915879274,1289750
TETM,27,0.000479510577751,1289750
TETC,78,0.00449328186055,1289750
TETB,42,0.0010591855873,1289750
KDPE,1440,0.0726298688434,1289750
TETD,37,0.00106571428744,1289750
TETG,30,0.000870722532489,1289750
SDIA,1153,0.0545196867034,1289750
AADA,622,0.0268392219704,1289750
NDM,6,0.000252187044595,1289750
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE,2186,0.115384370125,1289750
AADE,2,9.57672321247e-05,1289750
BICYCLOMYCIN_MULTIDRUG_EFFLUX_PROTEIN_BCR,2041,0.0584901997748,1289750
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,2847,0.118347777356,1289750
TETA,2910,0.0786283178327,1289750
TETA_60_,1,1.96000293727e-05,1289750
TETL,1,2.47782030716e-05,1289750
TET39,5,0.000143650848187,1289750
TET37,2,0.000210155870496,1289750
KLEBSIELLA_PNEUMONIAE_OMPK37,866,0.0262773506093,1289750
TET35,2554,0.0785470380361,1289750
TET34,2276,0.167720760438,1289750
TETA_46_,2,3.95415226717e-05,1289750
TETB_46_,2,3.92678789162e-05,1289750
MARA,690,0.0616567538163,1289750
MEL,4,9.32108173041e-05,1289750
ANT_3____IIA,4,0.000173258274913,1289750
TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR,6597,0.322696150835,1289750
ARNA,2504,0.0429251301888,1289750
TETO,7,0.000124317557195,1289750
MARR,2,0.000154400231385,1289750
AMPC,163,0.00485509703964,1289750
GADW,1858,0.0871295818124,1289750
DFRA16,51,0.00368642845443,1289750
FARB,4,8.93576142266e-05,1289750
CMER,107,0.00578228866536,1289750
PATA,2906,0.0718485834895,1289750
MRX,1021,0.0281231402037,1289750
DNA_BINDING_TRANSCRIPTIONAL_REGULATOR_GADX,1992,0.0825038199909,1289750
AAC_6___IB7,2,8.69610498604e-05,1289750
CMEC,329,0.00758867722608,1289750
CMEB,756,0.00824942620877,1289750
CMEA,270,0.00834897163986,1289750
MEF_B_,35,0.000971135929675,1289750
MEXX,2082,0.0596651621417,1289750
MEXW,360,0.00401319265466,1289750
MEXT,1,3.73303191012e-05,1289750
RLMA_II_,2,8.04852269984e-05,1289750
QNRB42,1,5.3029986013e-05,1289750
EVGS,6124,0.0580599045526,1289750
ADEA,1,7.93595594879e-05,1289750
ADEB,5,5.47703523493e-05,1289750
ADEC,1,2.41970511872e-05,1289750
MEXF,3,3.20576751604e-05,1289750
KLEBSIELLA_PNEUMONIAE_OMPK35,9,0.000449937238154,1289750
MEXD,1,1.08805532184e-05,1289750
MEXE,366,0.0104622685755,1289750
MEXB,402,0.00436143751121,1289750
ADEJ,17,0.000182346965137,1289750
MEXA,1,2.96303316104e-05,1289750
OQXA,1,2.90240844163e-05,1289750
OQXB,5,5.40400809846e-05,1289750
CMLA,34,0.000920873933724,1289750
SMEF,38,0.000909788705185,1289750
SMEE,2,2.18238788592e-05,1289750
KLEBSIELLA_PNEUMONIAE_OMPK36,122,0.00377249829653,1289750
AAC_6___I,12,0.000744158492248,1289750
SMEB,1,1.08183193582e-05,1289750
DHA,70,0.00209601369518,1289750
DFRA22,1,6.87782848896e-05,1289750
MACB,3374,0.0594558369268,1289750
MACA,2266,0.0693140510441,1289750
AAC_3__II,114,0.00452349489081,1289750
AADA13,3,0.00012847264536,1289750
OMP36,265,0.00801954801812,1289750
SMER,1,4.95564061431e-05,1289750
PBP_1B,20,0.000276453520263,1289750
ACRS,1221,0.0629837143876,1289750
CATB,835,0.0451234676222,1289750
PBP_1A,100,0.00157836119705,1289750
OPRM,2,4.8497508576e-05,1289750
RPOB2,1508,0.0147275497816,1289750
QNRB33,6,0.000318179916078,1289750
QNRB31,4,0.000200856938173,1289750
QNRB36,1,5.3029986013e-05,1289750
DNA_BINDING_PROTEIN_H_NS,2774,0.229784735597,1289750
RMTB,1,4.52128167601e-05,1289750
ACRB,9108,0.0991951843548,1289750
MCR_1,1,2.09767412325e-05,1289750
ACRA,2826,0.0803775099277,1289750
ACRF,4924,0.05404217151,1289750
ACRD,4413,0.0482936974454,1289750
ACRE,1,2.94764078098e-05,1289750
BACTERIAL_REGULATORY_PROTEIN_LUXR,1116,0.0620825165665,1289750
OMPR,13,0.0911262531328,D10182048
BACA,14,0.0819597069597,D10182048
COB_I_ALAMIN_ADENOLSYLTRANSFERASE,2,0.0163083090379,D10182048
OMPF,9,0.0409798534799,D10182048
EPTA,20,0.058435622878,D10182048
MSBA,10,0.0274607265587,D10182048
MULTIDRUG_ABC_TRANSPORTER,2,0.00553015323777,D10182048
PORIN_OMPC,4,0.0174192292721,D10182048
MDFA,6,0.0233885017422,D10182048
PBP_2X,12,0.0255714285714,D10182048
VIBRIO_CHOLERAE_VARG,5,0.0204899267399,D10182048
LMRD,5,0.012071104877,D10182048
LMRC,3,0.00838224275724,D10182048
MPHA,114,0.605303749407,D10182048
MRX,120,0.465499306519,D10182048
CLASS_C,7,0.0286858974359,D10182048
APH_6__I,2,0.0120166487648,D10182048
ESCHERICHIA_COLI_MDFA,1,0.00389808362369,D10182048
MTRE,5,0.0171115019884,D10182048
MTRD,8,0.0119828624983,D10182048
MEFA,7,0.0276234567901,D10182048
MTRC,1,0.00387916088766,D10182048
VIBRIO_CHOLERAE_OMPT,2,0.00929194352159,D10182048
CPXA,14,0.0489606126915,D10182048
ROSA,1,0.00389808362369,D10182048
ROSB,10,0.0294330439358,D10182048
VIBRIO_CHOLERAE_OMPU,1,0.00455331705332,D10182048
CAMP_REGULATORY_PROTEIN,5,0.0490249780894,D10182048
YOJI,3,0.00876534343171,D10182048
ESCHERICHIA_COLI_MIPA,4,0.0257776497696,D10182048
FLOR,2,0.00791195190948,D10182048
UGD,11,0.0453101988218,D10182048
MDTA,1,0.00385111876076,D10182048
MDTG,17,0.0675861762615,D10182048
MDTF,34,0.0524004683841,D10182048
MDTE,21,0.0871753246753,D10182048
MDTD,7,0.0237526539278,D10182048
MDTK,16,0.0539481615431,D10182048
MDTH,16,0.0636105188344,D10182048
MDTO,15,0.0350998745032,D10182048
MDTN,8,0.0372761349438,D10182048
MDTM,13,0.050675087108,D10182048
MDTL,17,0.0694875776398,D10182048
BCRA,1,0.00517221451687,D10182048
OXA,16,0.0926501035197,D10182048
EFRA,1,0.00329528718704,D10182048
EMRY,12,0.0374581473214,D10182048
BAER,6,0.0399553571429,D10182048
BAES,6,0.0205338023861,D10182048
EMRR,5,0.0454038149351,D10182048
PMRF,5,0.0248169920142,D10182048
EMRK,7,0.0289082687339,D10182048
EMRA,6,0.0245879120879,D10182048
EMRB,8,0.0249720982143,D10182048
EMRD,7,0.0283946700508,D10182048
EMRE,4,0.0511428571429,D10182048
APH_3____I,1,0.00587578781513,D10182048
ERMB,3,0.0195699708455,D10182048
ERMF,1,0.00600832438238,D10182048
MGRB,1,0.0340045592705,D10182048
ERMX,1,0.0063170525127,D10182048
TETW,3,0.00750335345406,D10182048
DFRA1,4,0.0407188353048,D10182048
ESCHERICHIA_COLI_LAMB,11,0.0394178411275,D10182048
TEM,112,0.637010676157,D10182048
TETQ,15,0.0364889106327,D10182048
SUL2,1,0.00589746968898,D10182048
EFRB,10,0.0441495659037,D10182048
TETM,20,0.0500223563604,D10182048
PENA,6,0.0153921119009,D10182048
TETA,23,0.0875212585034,D10182048
KDPE,5,0.0355158730159,D10182048
SDIA,4,0.0266369047619,D10182048
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE,4,0.0297342192691,D10182048
RLMA_II_,6,0.0340045592705,D10182048
BICYCLOMYCIN_MULTIDRUG_EFFLUX_PROTEIN_BCR,4,0.0161435786436,D10182048
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,2,0.0117085295657,D10182048
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,2,0.0145955642531,D10182048
TET37,3,0.0443948412698,D10182048
TET35,1,0.00433120402633,D10182048
TET34,2,0.0207560296846,D10182048
TETA_46_,2,0.00556869089099,D10182048
TETB_46_,5,0.0138253830944,D10182048
MARA,2,0.0251687289089,D10182048
MEL,15,0.0492263127017,D10182048
ARNA,11,0.0265564307294,D10182048
GADW,9,0.0594377213695,D10182048
FARB,1,0.00314609111361,D10182048
CMER,15,0.114158163265,D10182048
PATA,7,0.0243736383442,D10182048
PATB,6,0.0247146539028,D10182048
DNA_BINDING_TRANSCRIPTIONAL_REGULATOR_GADX,15,0.0874934827946,D10182048
CMEC,35,0.113694105691,D10182048
CMEB,53,0.0814474587912,D10182048
CMEA,16,0.0696769170884,D10182048
MEXX,17,0.0686102092352,D10182048
EVGS,27,0.0360499462943,D10182048
TOLC,11,0.0355158730159,D10182048
TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR,9,0.0619996921182,D10182048
ACRD,12,0.0184942829591,D10182048
MDTP,15,0.0491254391101,D10182048
MACB,18,0.0446705856256,D10182048
MACA,26,0.112004235657,D10182048
OMP36,1,0.0042619047619,D10182048
PBP_1B,16,0.0311466852271,D10182048
ACRS,7,0.0508522727273,D10182048
CATB,1,0.00761054421769,D10182048
PBP_1A,12,0.0266739519173,D10182048
RPOB2,50,0.0687699778707,D10182048
DNA_BINDING_PROTEIN_H_NS,3,0.0349973931178,D10182048
ACRB,29,0.0444800520976,D10182048
ACRA,6,0.0240332975295,D10182048
ACRF,24,0.0370958828406,D10182048
KLEBSIELLA_PNEUMONIAE_OMPK37,6,0.0256398013751,D10182048
BACTERIAL_REGULATORY_PROTEIN_LUXR,5,0.0391719187675,D10182048
OMPR,8792,0.464990356823,D10181788
BACA,6585,0.290860165055,D10181788
CTX_M,7249,0.300383604756,D10181788
SDEY,10,0.000114733012794,D10181788
COB_I_ALAMIN_ADENOLSYLTRANSFERASE,3297,0.202840181165,D10181788
OMPF,17999,0.618347165709,D10181788
CHLORAMPHENICOL_EXPORTER,2,5.07723774511e-05,D10181788
SAT_2,1111,0.0769938301448,D10181788
EPTA,10754,0.23706848252,D10181788
MSBA,10005,0.207293279458,D10181788
QNRB28,3,0.00016904354642,D10181788
MULTIDRUG_ABC_TRANSPORTER,27,0.000563283512812,D10181788
ADC_80,1,3.14841766179e-05,D10181788
QNRB23,1,5.33559276312e-05,D10181788
PORIN_OMPC,2755,0.0905204392943,D10181788
MDFA,8129,0.239080624076,D10181788
LMRD,277,0.0050456008785,D10181788
LMRC,91,0.00191838812528,D10181788
RAMA,65,0.00632095626534,D10181788
MDTF,19564,0.227494033952,D10181788
MPHA,5294,0.212084317205,D10181788
MRX,6088,0.17818393339,D10181788
EFMA,1240,0.0349356662602,D10181788
MEXK,15,0.000176464970409,D10181788
APH_6__I,2049,0.0928862512477,D10181788
TOLC,9089,0.221412440263,D10181788
QEPA,307,0.00724450287849,D10181788
FOSA6,42,0.0036435573027,D10181788
FOSA5,9,0.00078076227915,D10181788
ESCHERICHIA_COLI_MDFA,116,0.00341165609458,D10181788
MEXD,2,2.31226071805e-05,D10181788
MTRE,75,0.00193658024272,D10181788
CLASS_C,8316,0.257123036115,D10181788
STREPTOCOCCUS_AGALACTIAE_MPRF,1,1.42366465698e-05,D10181788
MDTO,12065,0.213008893576,D10181788
METALLO_BETA_LACTAMASE,51,0.0021206221444,D10181788
MSRC,1422,0.0348518316559,D10181788
ROSB,7691,0.170794584359,D10181788
NORB,2,5.17529598483e-05,D10181788
QNRD2,1,5.63478488068e-05,D10181788
MSRE,150,0.00368384103197,D10181788
QNRS5,2,0.000110627886648,D10181788
APH_3_____III,379,0.0173111690353,D10181788
AADA25,17,0.000779442866764,D10181788
QNRS9,58,0.0032082087128,D10181788
QNRS8,11,0.000608453376565,D10181788
CAMP_REGULATORY_PROTEIN,4609,0.34096532713,D10181788
ADC_25,1,3.14841766179e-05,D10181788
ROSA,4587,0.134907469878,D10181788
TEM,2212,0.0949226636796,D10181788
ABEM,4,0.000107664639684,D10181788
YOJI,9218,0.203207854926,D10181788
DFRA21,3,0.000219244357175,D10181788
ESCHERICHIA_COLI_MIPA,4047,0.196776230814,D10181788
DFRA25,22,0.00174530047488,D10181788
DFRE,33,0.00242639334313,D10181788
ADP_RIBOSYLATING_TRANSFERASE_ARR,100,0.0080389597631,D10181788
LSA,435,0.0105329743884,D10181788
FLOR,3,8.95428686484e-05,D10181788
MGRB,1084,0.278113799464,D10181788
UGD,5895,0.183207478622,D10181788
MDTC,169,0.00198817199995,D10181788
MDTB,240,0.00278271684107,D10181788
MDTA,1380,0.0400979438786,D10181788
MDTG,6851,0.205503407974,D10181788
ERMT,565,0.0279222065542,D10181788
MDTE,7919,0.24802800921,D10181788
MDTD,6787,0.173759299083,D10181788
MDTK,12572,0.31982848779,D10181788
MDTH,6194,0.185795958107,D10181788
CPXA,9425,0.248688826369,D10181788
MDTN,6350,0.223239334529,D10181788
MDTM,6104,0.179523696563,D10181788
MDTL,8330,0.256897192429,D10181788
VANS,4394,0.118534191943,D10181788
SHV,109,0.00459569902541,D10181788
AAC_6___II,2,0.000124957923779,D10181788
SMEB,4,4.59807040787e-05,D10181788
APH_3___I,394,0.0175314583763,D10181788
BLEOMYCIN_RESISTANCE_PROTEIN,105,0.0137623495944,D10181788
EFRB,590,0.0196532579844,D10181788
EFRA,1074,0.0267026065533,D10181788
QNRB71,1,5.63478488068e-05,D10181788
EMRY,8025,0.189001910446,D10181788
TETA_60_,1,2.08263206298e-05,D10181788
BAER,4311,0.216599722117,D10181788
BAES,7551,0.194974898837,D10181788
DFRA14,3045,0.233872284828,D10181788
DFRA15,7,0.000537637436386,D10181788
EMRR,3895,0.266861490999,D10181788
DFRA17,29,0.0022273550936,D10181788
EMRB_QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,2659,0.0666598565803,D10181788
PMRF,5160,0.193234622877,D10181788
DFRA12,220,0.0160779195262,D10181788
QEPA1,2,4.71954584918e-05,D10181788
EMRK,7139,0.222442378871,D10181788
EMRA,6522,0.20165421375,D10181788
EMRB,10019,0.235963880468,D10181788
EMRD,7787,0.238322511454,D10181788
EMRE,228,0.0219945939118,D10181788
APH_3____I,1671,0.0740796053169,D10181788
ERMB,659,0.032434741738,D10181788
ERMC,1,4.94198346092e-05,D10181788
ERMG,6,0.000296519007655,D10181788
FOSX,12,0.00108797951681,D10181788
ERMX,1,4.76618167773e-05,D10181788
TETW,1,1.8870797566e-05,D10181788
DFRA1,1209,0.0928576657986,D10181788
ADC_43,1,3.14841766179e-05,D10181788
DFRA5,49,0.0027740072422,D10181788
ESCHERICHIA_COLI_LAMB,9456,0.255660549955,D10181788
OPMH,1,2.50175096362e-05,D10181788
MAJOR_FACILITATOR_SUPERFAMILY_TRANSPORTER,8,0.000247988475982,D10181788
QNRB62,2,0.000106711855262,D10181788
QNRB,5,0.000280428828945,D10181788
TETR,142,0.00823220398817,D10181788
SUL1,1116,0.0475520093407,D10181788
SUL2,1729,0.0769337348546,D10181788
OXA,7098,0.310111610861,D10181788
QACH,14,0.00153471050023,D10181788
BRP_MBL_,1,9.96565259888e-05,D10181788
TETL,1217,0.0320417490121,D10181788
PENA,89,0.00172263423495,D10181788
QNRS,10,0.000545630753151,D10181788
TETM,1826,0.0344580763554,D10181788
TETC,3,0.000183631060578,D10181788
TETB,3,8.0389597631e-05,D10181788
KDPE,3802,0.203760833462,D10181788
TETD,4365,0.133591596571,D10181788
SDIA,3831,0.192482842828,D10181788
AADA,2294,0.105178937433,D10181788
TRIC,3,3.56407083093e-05,D10181788
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE,818,0.0458781564154,D10181788
BICYCLOMYCIN_MULTIDRUG_EFFLUX_PROTEIN_BCR,6633,0.201978864048,D10181788
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,5429,0.239799519527,D10181788
TETA,15382,0.4416259967,D10181788
TAEA,9,0.000167478328398,D10181788
CARO,1,4.98282629944e-05,D10181788
TET39,14,0.000427387734241,D10181788
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,475,0.0261541499142,D10181788
KLEBSIELLA_PNEUMONIAE_OMPK37,2996,0.0965964844261,D10181788
TET35,1,3.2678698224e-05,D10181788
TET34,347,0.0271706399785,D10181788
MARA,2403,0.228160869812,D10181788
EVGS,20331,0.20481214404,D10181788
MEL,6,0.000148563938127,D10181788
ANT_3____IIA,3,0.000138073736389,D10181788
TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR,5298,0.275369022575,D10181788
ARNA,7836,0.142734037848,D10181788
TETO,3,5.66123926979e-05,D10181788
MARR,9,0.000738271814978,D10181788
AMPC,16,0.000506391166179,D10181788
GADW,5417,0.269919700641,D10181788
DFRA16,20,0.0015361069611,D10181788
OPRM,12,0.000309190760119,D10181788
PATA,8784,0.2307654332,D10181788
AAC_6___IB8,26,0.00139341969227,D10181788
DNA_BINDING_TRANSCRIPTIONAL_REGULATOR_GADX,5900,0.259652532494,D10181788
AAC_6___IB7,8,0.00036960734543,D10181788
SERRATIA_MARCESCENS_OMP1,405,0.0130579359788,D10181788
TET_59_,14,0.000422045387563,D10181788
OPRN,2,5.109508324e-05,D10181788
ADER,2,9.7639187406e-05,D10181788
ADES,1,3.34028799021e-05,D10181788
MEXW,7,8.29165790889e-05,D10181788
MEXT,29,0.00115031167663,D10181788
MPHD,73,0.00299410236075,D10181788
VGAC,2490,0.395072562042,D10181788
ADEF,4,4.55465142385e-05,D10181788
AAC_3__IB_AAC_6___IB,5,0.000180515563543,D10181788
ADEA,3,0.000252974258279,D10181788
ADEB,7,8.14759435449e-05,D10181788
ADEC,1801,0.0463054366738,D10181788
ADEL,1,3.57817200138e-05,D10181788
KLEBSIELLA_PNEUMONIAE_OMPK35,93,0.00494024179274,D10181788
ADEN,2,0.000111137692577,D10181788
MEXE,1123,0.0341098935036,D10181788
ADEH,6,0.0001497942813,D10181788
ADEI,21,0.000608719308985,D10181788
ADEJ,95,0.00108275214201,D10181788
ADEK,1,2.49141314972e-05,D10181788
OQXA,151,0.00465683986277,D10181788
OQXB,365,0.00419174330504,D10181788
CMLA,1,2.87790922307e-05,D10181788
SMEF,116,0.00295101054595,D10181788
SMEE,1,1.15946535045e-05,D10181788
KLEBSIELLA_PNEUMONIAE_OMPK36,206,0.00676849745721,D10181788
AAC_6___I,5582,0.367815355718,D10181788
MEXB,2664,0.0307109782154,D10181788
DHA,6,0.000190898780654,D10181788
MDTP,9281,0.229332742504,D10181788
MACB,9907,0.185501493105,D10181788
MACA,6315,0.205253494221,D10181788
AAC_3__II,15,0.000632435645698,D10181788
AADA13,19,0.000864567370748,D10181788
OMP36,358,0.0115117903808,D10181788
SMER,2,0.000105313883359,D10181788
PBP_1B,66,0.000969375172408,D10181788
ACRS,4654,0.255090809574,D10181788
CATB,4103,0.2355989422,D10181788
PBP_1A,91,0.00152617247241,D10181788
MEXX,7385,0.224877719131,D10181788
RPOB2,2151,0.0223216038517,D10181788
QNRB33,2,0.000112695697614,D10181788
AAC_6___30_AAC_6___IB_,1,3.6763535502e-05,D10181788
DNA_BINDING_PROTEIN_H_NS,2519,0.221716857408,D10181788
ACRB,28333,0.327880777785,D10181788
ACRA,8698,0.262867939923,D10181788
ACRF,18591,0.216807012992,D10181788
ANT_3____IH_AAC_6___IID,1,2.60441461007e-05,D10181788
ACRD,12814,0.149003708396,D10181788
ACRE,2,6.26412449073e-05,D10181788
BACTERIAL_REGULATORY_PROTEIN_LUXR,3780,0.223435793416,D10181788
CATB10,1,5.7421141165e-05,D10181788
LNUD,2,0.000175723632865,D17181428
OMPR,114,0.00720466894747,D17181428
BACA,215,0.0113480133605,D17181428
COB_I_ALAMIN_ADENOLSYLTRANSFERASE,266,0.0195555300003,D17181428
OMPF,208,0.00853886690071,D17181428
CHLORAMPHENICOL_EXPORTER,310,0.00940398894197,D17181428
VGAA,1,2.76040955842e-05,D17181428
EPTA,123,0.00324012534018,D17181428
MSBA,812,0.0201037497778,D17181428
MEXW,188,0.00266105650712,D17181428
MULTIDRUG_ABC_TRANSPORTER,13,0.000324085454385,D17181428
TET44,32,0.000720466894747,D17181428
TET40,122,0.00432989956449,D17181428
PORIN_OMPC,29,0.00113861253121,D17181428
PBP_2X,373,0.00716624404642,D17181428
VANVB,3,0.000379193102499,D17181428
VIBRIO_CHOLERAE_VARG,2892,0.106850782544,D17181428
LMRD,47,0.0010230194578,D17181428
LMRC,43,0.00108321945714,D17181428
MEFE,7,0.000250286266165,D17181428
APH_6__I,2908,0.157527648867,D17181428
MDTK,2263,0.0687939486419,D17181428
ESCHERICHIA_COLI_MDFA,1,3.5144726573e-05,D17181428
CLASS_C,80,0.00295576161948,D17181428
CLASS_A,6,0.000288186757899,D17181428
MTRA,1,6.31988504164e-05,D17181428
MEFA,66,0.0023481883977,D17181428
MTRC,2,6.99482422085e-05,D17181428
VIBRIO_CHOLERAE_OMPT,3013,0.126207369411,D17181428
MDTO,158,0.00333334610161,D17181428
MSRE,1,2.93469203563e-05,D17181428
ROSA,45,0.00158151269579,D17181428
AMRB,1,1.37888400909e-05,D17181428
VIBRIO_CHOLERAE_OMPU,1914,0.0785739963844,D17181428
VANSD,2,0.000123685303819,D17181428
CRP,2,0.000137231789476,D17181428
APH_3_____III,1,5.45808253597e-05,D17181428
MAJOR_FACILITATOR_SUPERFAMILY_TRANSPORTER,2,7.40839994599e-05,D17181428
CAMP_REGULATORY_PROTEIN,2425,0.214372051505,D17181428
TET_W_N_W_,9,0.000202948421056,D17181428
ROSB,79,0.00209638617624,D17181428
YOJI,128,0.00337183775238,D17181428
ESCHERICHIA_COLI_MIPA,48,0.0027889041087,D17181428
DFRF,21,0.00184509814508,D17181428
FLOR,3833,0.136710376612,D17181428
LSAC,15,0.000439309082163,D17181428
UGD,951,0.0353177328301,D17181428
MDTC,4,5.62315625169e-05,D17181428
MDTB,9,0.000124696193322,D17181428
MDTA,22,0.000763868514913,D17181428
MDTG,265,0.00949869289095,D17181428
MDTF,244,0.00339043244587,D17181428
MDTE,105,0.0039298194259,D17181428
MDTD,75,0.00229448055652,D17181428
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,3,0.000150620256742,D17181428
MDTH,69,0.00247324456406,D17181428
CPXA,115,0.00362598218363,D17181428
MDTN,91,0.00382288556397,D17181428
